Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Mitsuokella	Genus	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella		82110000	10850205200	6166000	0	0	6911944800	64846000	0	0	0	73600000	1250384200	1367637100	1473359200	0	0	534406000	0
Bacteria	Superkingdom	Bacteria								2.27981E+11	3.66258E+11	3.26529E+11	3.75511E+11	3.46883E+11	4.35788E+11	3.18687E+11	4.48936E+11	3.20815E+11	2.5018E+11	3.14765E+11	2.07798E+11	3.10533E+11	2.51001E+11	3.65122E+11	4.43639E+11	2.63319E+11	4.43544E+11
Mitsuokella multacida	Species	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida	0	1037825000	0	0	0	673325800	0	0	0	0	0	76288400	104122100	146300300	0	0	0	0
Prevotella dentalis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella dentalis	0	0	0	0	0	9822600	0	42803000	43530000	0	0	36428000	32756000	28173000	28666000	0	0	0
Coriobacteriales	Order	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales				1497680000	4657518800	8676045000	2911918000	7201278000	6750314600	785472800	5172009600	3488775800	435476300	790806700	2396040400	3168795500	2391547700	4838388600	3854683200	5249189400	9587960000
Coriobacteriia	Class	Bacteria		Actinobacteria	Coriobacteriia					1528381400	4910778700	8798048100	2996691000	7559898000	7191925900	911507400	5666134300	3891481200	462458300	896544200	2619995300	3491789600	2721836500	5351295000	4006652200	5448367600	10084348200
Oribacterium sinus	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sinus	32925000	30105000	13610000	61945000	0	53175000	83741000	52917000	40393000	64120000	89045000	30408000	93390000	35984000	50706000	70210000	32828000	18338000
Dialister	Genus	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister		855132000	4016602600	405533400	606770000	1057003800	8367687000	612996000	954565500	745873200	386530000	469640000	2801130400	3924936900	3774654300	1054923000	203880000	4386244900	1252834400
Bifidobacteriales	Order	Bacteria		Actinobacteria	Actinobacteria	Bifidobacteriales				1956029100	359783700	1547481400	2359907200	2411217000	773740000	4214720700	8955604600	6171787400	3219601400	4266722000	1281168800	2005976400	1410094100	8509568100	1769123100	1060165700	2485560100
Oscillibacter	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter		42675000	1260331900	84741800	207656000	253135600	918944000	12558000	35983000	57233000	0	0	283501700	412397700	321301600	93650000	326638400	401744700	265547800
